Date;AAPL;AMZN;DIS;FB;JPM;MCD;NFLX;PG
03.01.2017;110.7;753.67;101.59;116.86;79.506;110.37;127.49;76.237
04.01.2017;110.58;757.18;102.89;118.69;79.653;110.24;129.41;76.509
05.01.2017;111.15;780.45;102.83;120.67;78.92;110.45;131.81;77.015
06.01.2017;112.36;795.99;104.36;123.41;78.93;111.41;131.07;76.989
09.01.2017;113.4;796.92;103.77;124.9;78.987;111.11;130.95;76.418
10.01.2017;113.52;795.9;103.79;124.35;79.214;110.94;129.89;75.594
11.01.2017;114.12;799.02;104.8;126.09;79.811;111.53;130.5;75.831
12.01.2017;113.66;813.64;102.98;126.62;79.039;112.65;129.18;75.911
13.01.2017;113.45;817.24;103.48;128.33;79.461;112.1;133.7;76.068
17.01.2017;114.36;809.72;103.39;127.87;76.575;113.25;132.89;77.152
18.01.2017;114.35;807.48;103.57;127.92;76.932;113.21;133.26;77.508
19.01.2017;114.15;809.04;102.73;127.55;76.356;112.72;138.41;77.3
20.01.2017;114.36;808.33;103.1;127.04;76.685;112.79;138.6;79.807
23.01.2017;114.45;817.88;102.58;128.93;76.723;111.99;137.39;79.36
24.01.2017;114.33;822.44;103.33;129.37;77.646;111.69;140.11;80.18
25.01.2017;116.15;836.52;103.46;131.48;78.85;112.38;139.52;79.543
26.01.2017;116.21;839.15;103.48;132.78;79.506;112.45;138.95;79.032
27.01.2017;116.22;835.75;104.66;132.18;79.672;113.36;142.47;79.142
30.01.2017;115.9;830.38;106.24;130.98;78.85;113.51;141.22;79.169
31.01.2017;115.66;823.48;105.96;130.34;77.565;113.08;140.71;79.944
01.02.2017;122.69;832.35;106.59;133.23;77.858;112.95;140.77;79.697
02.02.2017;122.5;839.95;105.92;130.84;77.528;113.68;139.2;80.089
03.02.2017;123;810.2;105.63;130.98;79.902;114.63;140.25;79.771
06.02.2017;124.19;807.64;104.93;132.06;79.526;114.84;140.97;79.761
07.02.2017;125.33;812.5;104.38;131.84;79.48;114.96;144;80.318
08.02.2017;125.82;819.71;104.38;134.15;78.782;115.03;144.74;80.61
09.02.2017;126.76;821.36;104.85;134.14;79.922;114.86;144.14;80.92
10.02.2017;126.47;827.46;104.62;134.19;79.735;116.08;144.82;80.281
13.02.2017;127.59;836.53;105.01;134.05;80.791;115.81;143.2;80.591
14.02.2017;129.23;836.39;105.66;133.85;82.083;116.07;140.79;80.18
15.02.2017;129.71;842.7;105.51;133.44;83.025;116.69;142.27;83.157
16.02.2017;129.56;844.28;106.01;133.84;82.974;116.89;142.01;82.857
17.02.2017;129.91;845.07;105.4;133.53;82.697;117.93;142.22;83.128
21.02.2017;130.84;856.44;105.35;133.72;83.411;118.16;142.6;83.659
22.02.2017;131.24;855.61;105.46;136.12;83.459;117.98;143.86;83.448
23.02.2017;130.64;852.19;105.08;135.36;83.521;118.34;142.77;83.167
24.02.2017;130.8;845.24;105.65;135.44;82.79;118.68;143.25;83.093
27.02.2017;131.06;848.64;105.56;136.41;82.879;118.05;143.41;82.946
28.02.2017;131.12;845.04;105.43;135.54;83.052;118.63;142.13;83.111
01.03.2017;133.81;853.08;106.34;137.42;85.785;119.94;142.65;83.649
02.03.2017;132.99;848.91;105.9;136.76;84.447;119.17;139.53;82.965
03.03.2017;133.8;849.88;106.53;137.17;85.052;118.86;139.14;82.591
06.03.2017;133.36;846.61;105.98;137.42;84.248;118.98;141.94;82.473
07.03.2017;133.54;846.02;106.16;137.3;83.779;119.02;141.43;82.399
08.03.2017;133.03;850.5;106.14;137.72;83.595;119.04;140.32;82.262
09.03.2017;132.73;853;106.33;138.24;83.925;119.08;140.53;82.444
10.03.2017;133.17;852.2;106.22;138.79;83.661;118.93;140.89;83.111
13.03.2017;133.23;854.59;106.79;139.6;83.734;118.6;143.52;83.331
14.03.2017;133.02;852.53;107.56;139.32;83.87;118.77;143.19;83.047
15.03.2017;134.45;852.97;107.12;139.72;84.073;118.84;145.25;83.412
16.03.2017;134.66;853.42;106.98;139.99;83.99;118.93;144.39;83.448
17.03.2017;133.98;852.31;107.01;139.84;83.111;119.58;145.11;83.047
20.03.2017;135.4;856.97;107.93;139.94;82.514;119.71;145.83;83.245
21.03.2017;133.85;843.2;107;138.51;80.095;119.46;142.42;83.22
22.03.2017;135.36;848.06;107.33;139.59;80.223;119.98;142.65;83.038
23.03.2017;134.87;847.38;107.49;139.53;80.095;119.9;141.84;82.838
24.03.2017;134.62;845.61;107.39;140.34;80.001;120.2;142.02;82.653
27.03.2017;134.83;846.82;107.63;140.32;79.958;120.35;144.06;82.582
28.03.2017;137.64;856;108.26;141.76;81.205;120.31;145.17;82.828
29.03.2017;137.93;874.32;107.76;142.65;80.901;119.75;146.47;82.682
30.03.2017;137.76;876.34;108.37;142.41;81.597;120.18;148.06;82.315
